return period,return value,lower ci,upper ci
5,23.38998667,22.22,23.6988096
10,23.9520389,22.22,24.36288562
25,24.61629227,22.22,25.13658357
50,25.07798842,22.22,25.67187431
100,25.51165927,22.22,26.21541622
