date,2781,exceedance probability,return period
2088-11-13 00:00:00,1.0014167,0.85046729,1.175824176
2020-05-12 00:00:00,1.000159649,0.859813084,1.163043478
2093-02-17 00:00:00,0.991772205,0.869158879,1.150537634
2039-04-07 00:00:00,0.966974548,0.878504673,1.138297872
2090-10-31 00:00:00,0.963254301,0.887850467,1.126315789
2013-06-08 00:00:00,0.952162502,0.897196262,1.114583333
2075-12-31 00:00:00,0.951495909,0.906542056,1.103092784
2084-10-05 00:00:00,0.94828514,0.91588785,1.091836735
2026-03-02 00:00:00,0.938706956,0.925233645,1.080808081
2072-12-27 00:00:00,0.884410429,0.934579439,1.07
2089-12-29 00:00:00,0.868972481,0.943925234,1.059405941
2029-11-02 00:00:00,0.827107611,0.953271028,1.049019608
2068-02-04 00:00:00,0.793863588,0.962616822,1.038834951
2076-01-01 00:00:00,0.784063808,0.971962617,1.028846154
2028-11-29 00:00:00,0.763243387,0.981308411,1.019047619
2100-01-01 00:00:00,0.622381064,0.990654206,1.009433962
